"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_4_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","jealousy_proneness_1","jealousy_intensity_1","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","orange_gender","orange_gender._4_TEXT","blue_gender","self_ambition1","self_ambition2","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","entered_poly","openness_poly","monog_attn","poly_attn","actual_a_ambition1","actual_a_ambition2","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","textQuality","monog_attn_dup","poly_attn_dup","PIN","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","group"
41,0,1,"",1,"",6,0,2,1,"",2,3,5,4,8,4,3,0,6,5,3,7,8,9,1,7,2,"",2,8,9,9,9,7,8,8,6,4,4,6,4,6,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,6,2,5,5,4,5,5,1,6,4,2,44,2,"",0,FALSE,NA,"36",8.5,9,7.5,7,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3.5,4.5,5,3.5,3,"partnered_monog"
35,1,1,"",2,"",6,0,1,NA,"",NA,NA,0,9,10,9,8,0,0,0,9,10,9,6,0,0,1,"",1,6,7,7,7,8,8,7,8,7,7,9,8,6,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"34",6.5,7,8,7.5,7,8.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
23,0,1,"",1,"",1,0,1,NA,"",NA,NA,3,5,4,1,9,0,7,8,8,7,0,9,0,9,2,"",2,8,7,8,8,6,8,7,7,10,7,5,8,8,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"181",7.5,8,7,7,8.5,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
62,1,2,"",2,"",6,0,2,1,"",1,1,5,5,5,7,5,5,5,5,5,5,6,6,5,1,2,"",2,7,8,8,8,9,9,8,7,9,9,8,8,9,9,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,5,6,8,7,8,7,7,8,8,5,8,7,57,2,"",0,FALSE,NA,"115",7.5,8,9,7.5,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.5,7.5,7.5,7.5,6.5,7.5,"partnered_monog"
50,1,1,"",2,"",6,0,5,1,"",5,6,0,6,0,9,10,0,8,0,3,6,8,10,0,10,1,"",1,0,0,7,7,1,1,6,6,0,0,6,6,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,9,9,5,5,8,8,8,9,7,7,53,1,"",0,FALSE,NA,"47",0,7,1,6,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,5,8,8.5,7,"partnered_monog"
38,0,1,"",1,"",6,0,2,1,"",3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,"",2,5,5,6,6,5,5,5,5,6,5,5,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,5,6,5,5,6,5,5,5,5,5,39,2,"",0,FALSE,NA,"100",5,6,5,5,5.5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5.5,5,5.5,5,5,"partnered_monog"
29,0,1,"",1,"",6,0,5,1,"",7,5,4,4,6,4,9,4,6,4,6,8,6,4,3,2,2,"",2,6,7,7,7,3,6,7,6,7,5,5,4,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,5,9,8,6,6,5,6,6,8,6,5,30,2,"",0,FALSE,NA,"257",6.5,7,4.5,6.5,6,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8.5,6,5.5,7,5.5,"partnered_monog"
36,1,1,"",2,"",2,0,1,NA,"",NA,NA,0,4,10,6,9,0,1,0,10,10,9,8,0,3,1,"",1,10,9,6,7,5,8,7,5,1,7,7,8,5,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"46",9.5,6.5,6.5,6,4,7.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
32,1,1,"",2,"",1,0,5,1,"",3,5,3,6,6,4,5,4,6,7,8,7,4,5,3,2,1,"",1,7,6,6,6,7,7,4,5,7,7,3,6,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,8,8,8,9,8,8,8,7,9,9,8,7,30,1,"",0,FALSE,NA,"128",6.5,6,7,4.5,7,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8,8.5,8,7.5,9,7.5,"partnered_monog"
65,0,1,"",1,"",6,0,2,1,"",5,4,1,1,9,7,8,2,8,1,1,10,7,8,1,6,2,"",2,6,7,8,8,7,8,5,5,9,8,4,3,6,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,4,4,5,5,5,5,5,2,3,6,4,68,2,"",0,FALSE,NA,"87",6.5,8,7.5,5,8.5,3.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.5,4.5,5,5,2.5,5,"partnered_monog"
48,1,1,"",2,"",NA,0,2,1,"",2,2,3,7,6,7,5,5,5,3,7,6,8,7,1,0,1,"",1,7,7,8,9,7,8,3,6,7,7,8,8,9,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,7,5,6,10,7,5,7,7,5,8,8,46,1,"",0,FALSE,NA,"193",7,8.5,7.5,4.5,7,8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7,5.5,8.5,6,6,8,"partnered_monog"
35,1,1,"",2,"",6,0,1,NA,"",NA,NA,1,5,5,5,5,5,5,6,6,6,6,5,5,5,1,"",1,4,2,5,6,6,6,4,4,2,3,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"206",3,5.5,6,4,2.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
34,0,1,"",1,"",NA,0,5,1,"",2,4,2,10,7,8,10,2,8,3,8,0,3,3,3,3,2,"",2,6,5,7,8,8,8,7,8,0,4,6,5,8,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,8,8,9,9,10,7,4,5,9,8,9,7,40,2,"",0,FALSE,NA,"264",5.5,7.5,8,7.5,2,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8,9,8.5,4.5,8.5,8,"partnered_monog"
57,1,1,"",2,"",6,0,2,1,"",2,5,2,6,6,7,7,5,4,2,6,6,7,7,4,1,1,"",1,4,3,6,7,7,8,6,3,7,6,4,6,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,6,7,8,6,7,5,2,5,3,6,6,52,1,"",0,FALSE,NA,"172",3.5,6.5,7.5,4.5,6.5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6.5,7.5,6.5,3.5,4,6,"partnered_monog"
22,1,3,"",2,"",1,0,5,1,"",2,5,4,7,10,4,4,4,4,4,5,5,4,3,3,9,1,"",1,4,5,6,7,5,6,6,4,6,6,5,6,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,6,5,6,7,5,4,4,5,3,7,6,22,1,"",0,FALSE,NA,"132",4.5,6.5,5.5,5,6,5.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.5,5.5,6,4,4,6.5,"partnered_monog"
42,0,1,"",1,"",6,0,1,NA,"",NA,NA,3,4,4,2,10,5,8,3,5,8,3,10,2,3,2,"",2,5,5,5,5,5,10,4,4,2,2,5,5,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"199",5,5,7.5,4,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
36,0,1,"",1,"",6,0,2,1,"",2,7,6,5,5,5,7,2,5,6,5,5,8,7,2,2,2,"",2,7,8,7,7,7,7,5,6,7,6,5,5,7,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,8,8,9,10,8,7,7,6,7,5,7,7,38,2,"",0,FALSE,NA,"166",7.5,7,7,5.5,6.5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,8,9.5,7.5,6.5,6,7,"partnered_monog"
25,1,1,"",2,"",6,0,5,1,"",2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,"",1,7,6,6,6,5,5,6,7,8,8,6,5,6,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,7,7,6,7,5,5,7,8,7,6,24,1,"",0,FALSE,NA,"216",6.5,6,5,6.5,8,5.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,6.5,5,7.5,6.5,"partnered_monog"
57,1,1,"",2,"",6,0,1,NA,"",NA,NA,2,8,7,4,5,4,5,1,8,7,4,6,4,5,1,"",1,5,4,6,7,4,8,5,6,6,5,4,4,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"210",4.5,6.5,6,5.5,5.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
29,1,1,"",2,"",2,0,5,1,"",2,4,1,8,0,10,4,3,3,7,5,8,4,5,5,7,1,"",1,6,6,5,7,6,8,7,5,5,5,7,8,7,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,7,7,6,8,8,6,7,7,7,7,6,27,1,"",0,FALSE,NA,"79",6,6,7,6,5,7.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7,6.5,8,6.5,7,6.5,"partnered_monog"
40,3,5,"",5,"",7,2,1,NA,"",NA,NA,6,5,7,9,10,0,7,3,3,0,10,10,0,0,3,"",4,6,6,7,6,7,7,6,4,2,2,4,7,6,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"39",6,6.5,7,5,2,5.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"partnered_monog"
27,0,3,"",1,"",6,0,5,1,"",3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,"",4,5,4,4,3,7,6,3,0,2,3,4,6,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,7,6,8,8,6,6,8,5,5,5,27,3,"",0,FALSE,NA,"186",4.5,3.5,6.5,1.5,2.5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.5,6.5,8,6,6.5,5,"partnered_monog"
23,1,1,"",2,"",2,0,1,NA,"",NA,NA,4,8,7,7,8,0,3,8,7,7,8,0,0,3,1,"",1,5,5,7,8,8,8,7,5,4,4,6,6,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"219",5,7.5,8,6,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
54,0,1,"",1,"",6,0,1,NA,"",NA,NA,5,5,5,6,6,3,3,6,6,8,7,7,1,2,2,"",2,6,6,6,6,8,8,7,5,5,5,7,6,8,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,FALSE,NA,"168",6,6,8,6,5,6.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
